정류소ID,모바일ID,정류소명,영문명,시/도,구/군,동,X좌표,Y좌표,경유노선수,경유노선
7111023800,01830,박석진교,Bakseokjingyo (Bridge),대구광역시,달성군,현풍면,12826.2268,3542.4213,4,"600, 655, 달성5, 달성6"
7111023900,01515,성하리,Seongha-ri,대구광역시,달성군,현풍면,12826.246435,3542.366167,4,"600, 655, 달성5, 달성6"
7111024000,01300,현풍삼거리,Hyeonpung (3) Junction,대구광역시,달성군,현풍면,12826.3351,3542.0361,1,655
7111024100,01512,현풍중고등학교,Hyeonpung High School,대구광역시,달성군,현풍면,12826.3535,3541.8129,1,655
7111024200,05090,달성우체국건너,Dalseong Post Office,대구광역시,달성군,현풍면,12826.3504,3541.6328,2,"655, 급행4"
7111024400,05468,유가사(종점),Yugasa,대구광역시,달성군,유가면,12830.08035,3542.828294,2,"600, 달성5"
7111024600,02403,도동서원,Dodong-Seowon,대구광역시,달성군,구지면,12822.3328,3542.1062,1,달성3
7111024700,05471,자모공원,Jamo Park,대구광역시,달성군,현풍면,12823.7259,3541.4886,1,-
7111024800,01298,달성소방서건너,Dalseong Fire Station,대구광역시,달성군,현풍면,12826.7883,3540.9286,5,"600, 달성3, 달성5, 달성6, 달성7"
7111025000,02402,신기리1,Singi-ri,대구광역시,달성군,현풍면,12826.5808,3540.1775,2,"600, 달성3"
7111025100,02437,신기리2,Singi-ri,대구광역시,달성군,현풍면,12826.6083,3540.1836,2,"600, 달성3"
7111025200,02622,대리마을회관,Dae-ri Maeul Center,대구광역시,달성군,현풍면,12825.62551,3539.92441,2,"600, 달성3"
7111025300,02621,대리,Dae-ri,대구광역시,달성군,현풍면,12825.3616,3539.8567,2,"600, 달성3"
7111025400,02583,내리1,Nae-ri,대구광역시,달성군,구지면,12824.3993,3538.4677,1,달성7
